f_Hz_Median,ICI,num_Clicks,var_RI
 5352.00,  0.1303101, 22,  0.0000110
 6360.00,  0.1738586, 13,  0.0000151
 6248.00,  0.1329346, 155,  0.0006658
 4248.00,  0.0600586, 15,  0.0000316
 6624.00,  0.0363770, 26,  0.0000350
 6744.00,  0.0524902, 8,  0.0000093
 6360.00,  0.0028687, 14,  0.0000147
 6624.00,  0.1282349, 12,  0.0000215
 6216.00,  0.1456604, 9,  0.0000215
 6640.00,  0.0272217, 8,  0.0000251
 4312.00,  0.1173096, 14,  0.0000286
 6992.00,  0.0523071, 18,  0.0000128
 6624.00,  0.1102905, 10,  0.0000184
 7416.00,  0.0071716, 19,  0.0000130
 8992.00,  0.0040894, 51,  0.0000130
 6368.00,  0.0054932, 98,  0.0000195
 5896.00,  0.0034790, 31,  0.0000195
 7400.00,  0.0046387, 25,  0.0000130
 6496.00,  0.0047607, 34,  0.0000137
 4544.00,  0.0620117, 8,  0.0000137
 6192.00,  0.0033875, 29,  0.0000137
 6616.00,  0.0764771, 25,  0.0000180
 7400.00,  0.0033569, 40,  0.0000116
 6416.00,  0.0248718, 415,  0.0001648
 7840.00,  0.0037842, 28,  0.0000284
 5552.00,  0.0090332, 10,  0.0000198
 6640.00,  0.2335205, 10,  0.0000185
 6608.00,  0.1033325, 10,  0.0000185
 6632.00,  0.2717285, 18,  0.0000241
 6416.00,  0.0929260, 41,  0.0000241
 6392.00,  0.0528870, 289,  0.0000250
 6400.00,  0.1487427, 54,  0.0000221
 6616.00,  0.0561523, 18,  0.0000221
 6392.00,  0.1261597, 120,  0.0000274
 6344.00,  0.0253601, 45,  0.0000283
 4960.00,  0.0355225, 28,  0.0000319
 9136.00,  0.0179443, 19,  0.0000250
 6616.00,  0.3209229, 12,  0.0000156
 6608.00,  0.2936401, 31,  0.0000120
 6920.00,  0.4552307, 9,  0.0000171
 6792.00,  0.3465576, 25,  0.0000171
 7096.00,  0.2629395, 18,  0.0000123
 7544.00,  0.0102539, 35,  0.0000183
 6320.00,  0.0087891, 46,  0.0000183
 6616.00,  0.3886719, 21,  0.0000000
 6576.00,  0.0079956, 32,  0.0000132
